,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Resource name,Council,Focus Area,Type,Year,Document name or external link,"If the document is already posted on an existing council website, provide the link here:"
Example memo,CFOC,Financial Management,Memorandum,2021,https://example.gov/memos/example,
Example policy,EOC,Evaluation ,Policy,2023,example_policy.pdf,www.councilX.gov/resources/example_policy.pdf
Resources,CDOC,Data,Hyperlink,N/A,N/A,"Please hyperlink the ""Resources"" for CDOC to ""https://resources.data.gov/""."
Annual CDOC Survey,CDOC,Data,PDF Files,2024,"anonmyzed responses, survey instrument,and slides analyzing the data",Verious PDF files located here: https://www.cdo.gov/cdo-council-2024-survey/
Annual CDOC Survey,CDOC,Data,PDF Files,2023,"anonmyzed responses, survey instrument,and slides analyzing the data",Various PDF files located here: https://www.cdo.gov/2023-cdoc-survey/
Annual CDOC Survey,CDOC,Data,PDF Files,2022,"anonmyzed responses, survey instrument,and slides analyzing the data",Various PDF files located here: https://www.cdo.gov/news/survey-results-2022/
CDOC Awaeds Program,CDOC,Data,TBD,,,https://www.cdo.gov/awards-program/