Resource name,Council,Focus Area,Type,Year,Document name or external link,"If the document is already posted on an existing council website, provide the link here:"
Title 2 of the CFR,COFFA,Uniform Guidance 2 CFR 200,Quick Reference,2024,https://www.ecfr.gov/current/title-2/subtitle-A/chapter-II/part-200?toc=1,
OMB M-24-11: Reducing Burden in the Administation of Federal Financial Assistance,COFFA,Memorandum,Memorandum,2024,https://www.coffa.gov/assets/files/M-24-11-Revisions-to-2-CFR.pdf,https://www.coffa.gov/assets/files/M-24-11-Revisions-to-2-CFR.pdf
SimplerGrants.gov,COFFA,External Site,Quick Reference,Unknown,https://simpler.grants.gov/,
"COFFA Memo March 2025 - Single Audit Report Extensions for Hurricane Helene, Hurricane Milton, and the California Wildfires",COFFA,Memorandum,Memorandum,2025,https://www.coffa.gov/assets/files/3-11-2025%20COFFA%20Memo%20-%20Single%20Audit%20Extension.pdf,https://www.coffa.gov/assets/files/3-11-2025%20COFFA%20Memo%20-%20Single%20Audit%20Extension.pdf
M-25-14 Recission of M-25-13,COFFA,Memorandum,Memorandum,2025,https://www.coffa.gov/assets/files/M-25-14%20Final.pdf,https://www.coffa.gov/assets/files/M-25-14%20Final.pdf
2 CFR Crosswalk 2024,COFFA,Uniform Guidance 2 CFR 200,Guidance,2024,https://www.coffa.gov/assets/files/2-CFR-Crosswalk-2024.xlsx,https://www.coffa.gov/assets/files/2-CFR-Crosswalk-2024.xlsx
2 CFR Crosswalk 2020,COFFA,Uniform Guidance 2 CFR 200,Guidance,2020,https://www.coffa.gov/assets/files/2-CFR-Crosswalk_20201106.xlsx,https://www.coffa.gov/assets/files/2-CFR-Crosswalk_20201106.xlsx
2 CFR Frequently Asked Questions (circa FY21),COFFA,Uniform Guidance 2 CFR 200,Guidance,2021,https://www.coffa.gov/assets/files/2CFR-FrequentlyAskedQuestions_2021050321.pdf,https://www.coffa.gov/assets/files/2CFR-FrequentlyAskedQuestions_2021050321.pdf
Guidance for Grants and Agreements,COFFA,Uniform Guidance 2 CFR 200,Quick Reference,2020,https://www.coffa.gov/assets/files/2CFR-FrequentlyAskedQuestions_2021050321.pdf,https://www.coffa.gov/assets/files/2CFR-FrequentlyAskedQuestions_2021050321.pdf
Guidance for Grants and Agreements - Federal Register Proposed Rule,COFFA,Uniform Guidance 2 CFR 200,Quick Reference,2020,https://www.federalregister.gov/documents/2020/01/22/2019-28524/guidance-for-grants-and-agreements#open-comment,https://www.federalregister.gov/documents/2020/01/22/2019-28524/guidance-for-grants-and-agreements#open-comment
The PMA Playbook for Federal Awarding Agencies Info Sharing Platform,COFFA,Uniform Guidance 2 CFR 200,Playbook,2020,https://www.coffa.gov/assets/files/Managing-for-Results-Performance-Management-Playbook-for-Federal-Awarding-Agencies.pdf,https://www.coffa.gov/assets/files/Managing-for-Results-Performance-Management-Playbook-for-Federal-Awarding-Agencies.pdf